Store 1,Store 2,Store 3,Store 4,Store 5,Store 6,Store 7,Store 8,Store 9,Store 10,Store 11,Store 12,Store 13,Store 14,Store 15,Store 16,Store 17,Store 18,Store 19,Store 20
0,1,1,4,1,0,3,2,0,2,0,2,0,4,2,0,4,3,1,4
4,2,4,4,3,4,4,1,1,0,3,0,0,1,3,0,1,1,1,1
0,3,1,0,0,1,2,1,0,2,2,1,1,2,4,0,0,2,3,2
2,1,0,4,3,3,3,2,3,1,3,0,3,4,4,3,0,4,2,2
0,3,4,2,3,0,3,4,1,4,4,4,1,2,3,4,0,2,4,0
3,2,0,2,4,4,0,1,0,4,4,1,2,0,3,2,2,0,3,0
2,3,1,1,4,4,3,1,2,3,4,3,3,4,4,2,2,4,4,4
1,1,4,2,0,3,4,3,1,4,3,0,0,1,2,1,3,0,0,3
2,2,2,3,3,3,3,2,1,3,3,2,1,3,4,2,2,2,3,2
0,4,3,1,0,3,1,0,4,1,1,4,3,0,0,3,1,4,0,4
2,3,2,1,0,4,4,0,0,3,4,0,0,0,0,4,2,0,3,4
1,1,4,3,1,4,2,0,2,3,1,4,0,2,1,3,3,4,0,0
3,4,3,1,3,3,4,0,0,0,0,1,2,1,2,1,2,4,4,2
1,3,1,0,2,0,0,3,3,2,3,4,4,0,1,0,3,0,4,3
3,4,0,1,1,2,3,4,2,3,3,2,4,0,1,2,3,1,1,0
0,4,3,4,1,1,4,2,1,2,4,3,1,0,0,2,3,1,4,3
2,4,3,2,2,3,3,2,2,2,3,3,2,1,1,2,3,2,3,3
2,2,0,1,1,2,1,0,4,3,2,4,3,1,1,2,2,3,2,3
2,4,1,0,0,3,3,0,2,2,4,2,4,0,3,3,0,0,0,0
1,2,4,3,4,4,4,4,4,4,4,0,0,2,2,4,3,4,2,1
1,0,1,2,2,2,3,1,1,2,1,3,1,3,0,0,2,0,0,0
1,4,3,3,3,3,1,2,4,1,2,1,2,2,4,4,3,1,1,1
2,4,4,0,2,1,2,0,2,1,4,4,4,3,1,4,2,0,3,2
3,1,4,2,2,2,0,2,4,2,4,2,2,0,3,2,3,2,0,1
2,3,3,2,2,3,2,2,3,2,3,3,3,2,2,3,3,2,2,2
3,3,2,0,0,3,3,3,0,4,4,2,3,4,1,2,4,3,3,2
4,2,2,2,3,0,4,1,4,4,2,3,1,1,2,4,2,4,2,4
4,4,3,4,0,4,0,3,0,1,3,0,1,4,1,0,4,3,1,0
1,1,2,2,2,4,0,0,1,4,3,2,3,1,4,3,3,3,0,4
0,4,1,4,4,0,4,4,2,4,3,3,1,3,1,0,2,4,3,1
2,0,4,0,4,0,0,0,2,1,3,0,0,2,0,4,2,3,2,3
4,3,1,0,4,3,3,1,1,3,1,3,2,3,2,2,0,2,4,2
3,3,3,2,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3
3,1,1,2,3,2,1,3,2,3,3,2,0,2,2,2,1,1,3,1
4,1,1,1,1,0,0,2,1,2,0,1,3,3,0,2,2,2,2,1
4,2,1,3,3,2,3,0,3,2,0,4,4,0,0,4,0,3,2,3
