day,hours,store,value
Friday,0,1,0
Friday,1,1,1
Friday,2,1,0
Friday,3,1,0
Friday,4,1,0
Friday,5,1,0
Friday,6,1,0
Friday,7,1,0
Friday,8,1,0
Friday,9,1,0
Friday,10,1,4
Friday,11,1,3
Friday,12,1,1
Friday,13,1,1
Friday,14,1,2
Friday,15,1,3
Friday,16,1,4
Friday,17,1,1
Friday,18,1,0
Friday,19,1,0
Friday,20,1,3
Friday,21,1,0
Friday,22,1,2
Friday,23,1,1
Friday,0,2,3
Friday,1,2,3
Friday,2,2,0
Friday,3,2,0
Friday,4,2,0
Friday,5,2,0
Friday,6,2,0
Friday,7,2,0
Friday,8,2,0
Friday,9,2,0
Friday,10,2,4
Friday,11,2,2
Friday,12,2,1
Friday,13,2,0
Friday,14,2,3
Friday,15,2,0
Friday,16,2,2
Friday,17,2,2
Friday,18,2,2
Friday,19,2,2
Friday,20,2,2
Friday,21,2,3
Friday,22,2,4
Friday,23,2,4
Friday,0,3,2
Friday,1,3,3
Friday,2,3,0
Friday,3,3,0
Friday,4,3,0
Friday,5,3,0
Friday,6,3,0
Friday,7,3,0
Friday,8,3,0
Friday,9,3,0
Friday,10,3,2
Friday,11,3,4
Friday,12,3,2
Friday,13,3,0
Friday,14,3,2
Friday,15,3,4
Friday,16,3,4
Friday,17,3,3
Friday,18,3,2
Friday,19,3,1
Friday,20,3,1
Friday,21,3,4
Friday,22,3,1
Friday,23,3,4
Friday,0,4,2
Friday,1,4,4
Friday,2,4,0
Friday,3,4,0
Friday,4,4,0
Friday,5,4,0
Friday,6,4,0
Friday,7,4,0
Friday,8,4,0
Friday,9,4,0
Friday,10,4,1
Friday,11,4,0
Friday,12,4,0
Friday,13,4,3
Friday,14,4,2
Friday,15,4,3
Friday,16,4,4
Friday,17,4,0
Friday,18,4,4
Friday,19,4,3
Friday,20,4,0
Friday,21,4,1
Friday,22,4,1
Friday,23,4,2
Friday,0,5,1
Friday,1,5,3
Friday,2,5,0
Friday,3,5,0
Friday,4,5,0
Friday,5,5,0
Friday,6,5,0
Friday,7,5,0
Friday,8,5,0
Friday,9,5,0
Friday,10,5,1
Friday,11,5,3
Friday,12,5,0
Friday,13,5,1
Friday,14,5,1
Friday,15,5,0
Friday,16,5,1
Friday,17,5,2
Friday,18,5,0
Friday,19,5,1
Friday,20,5,2
Friday,21,5,1
Friday,22,5,0
Friday,23,5,2
Friday,0,6,4
Friday,1,6,3
Friday,2,6,0
Friday,3,6,0
Friday,4,6,0
Friday,5,6,0
Friday,6,6,0
Friday,7,6,0
Friday,8,6,0
Friday,9,6,0
Friday,10,6,2
Friday,11,6,2
Friday,12,6,1
Friday,13,6,4
Friday,14,6,2
Friday,15,6,0
Friday,16,6,3
Friday,17,6,3
Friday,18,6,0
Friday,19,6,0
Friday,20,6,3
Friday,21,6,3
Friday,22,6,4
Friday,23,6,4
Friday,0,7,3
Friday,1,7,3
Friday,2,7,0
Friday,3,7,0
Friday,4,7,0
Friday,5,7,0
Friday,6,7,0
Friday,7,7,0
Friday,8,7,0
Friday,9,7,0
Friday,10,7,4
Friday,11,7,0
Friday,12,7,1
Friday,13,7,3
Friday,14,7,0
Friday,15,7,0
Friday,16,7,3
Friday,17,7,4
Friday,18,7,1
Friday,19,7,3
Friday,20,7,4
Friday,21,7,1
Friday,22,7,1
Friday,23,7,1
Friday,0,8,2
Friday,1,8,1
Friday,2,8,0
Friday,3,8,0
Friday,4,8,0
Friday,5,8,0
Friday,6,8,0
Friday,7,8,0
Friday,8,8,0
Friday,9,8,0
Friday,10,8,1
Friday,11,8,3
Friday,12,8,3
Friday,13,8,1
Friday,14,8,3
Friday,15,8,1
Friday,16,8,1
Friday,17,8,3
Friday,18,8,2
Friday,19,8,0
Friday,20,8,0
Friday,21,8,0
Friday,22,8,2
Friday,23,8,3
Friday,0,9,0
Friday,1,9,4
Friday,2,9,0
Friday,3,9,0
Friday,4,9,0
Friday,5,9,0
Friday,6,9,0
Friday,7,9,0
Friday,8,9,0
Friday,9,9,0
Friday,10,9,3
Friday,11,9,3
Friday,12,9,0
Friday,13,9,0
Friday,14,9,0
Friday,15,9,0
Friday,16,9,3
Friday,17,9,3
Friday,18,9,3
Friday,19,9,4
Friday,20,9,1
Friday,21,9,0
Friday,22,9,4
Friday,23,9,2
Friday,0,10,2
Friday,1,10,0
Friday,2,10,0
Friday,3,10,0
Friday,4,10,0
Friday,5,10,0
Friday,6,10,0
Friday,7,10,0
Friday,8,10,0
Friday,9,10,0
Friday,10,10,4
Friday,11,10,4
Friday,12,10,0
Friday,13,10,0
Friday,14,10,3
Friday,15,10,0
Friday,16,10,1
Friday,17,10,4
Friday,18,10,2
Friday,19,10,1
Friday,20,10,1
Friday,21,10,1
Friday,22,10,4
Friday,23,10,2
Friday,0,11,3
Friday,1,11,0
Friday,2,11,0
Friday,3,11,0
Friday,4,11,0
Friday,5,11,0
Friday,6,11,0
Friday,7,11,0
Friday,8,11,0
Friday,9,11,0
Friday,10,11,4
Friday,11,11,0
Friday,12,11,1
Friday,13,11,0
Friday,14,11,2
Friday,15,11,4
Friday,16,11,4
Friday,17,11,1
Friday,18,11,0
Friday,19,11,0
Friday,20,11,2
Friday,21,11,0
Friday,22,11,3
Friday,23,11,4
Friday,0,12,3
Friday,1,12,1
Friday,2,12,0
Friday,3,12,0
Friday,4,12,0
Friday,5,12,0
Friday,6,12,0
Friday,7,12,0
Friday,8,12,0
Friday,9,12,0
Friday,10,12,3
Friday,11,12,4
Friday,12,12,4
Friday,13,12,2
Friday,14,12,4
Friday,15,12,3
Friday,16,12,1
Friday,17,12,3
Friday,18,12,1
Friday,19,12,3
Friday,20,12,3
Friday,21,12,0
Friday,22,12,0
Friday,23,12,0
Friday,0,13,3
Friday,1,13,2
Friday,2,13,0
Friday,3,13,0
Friday,4,13,0
Friday,5,13,0
Friday,6,13,0
Friday,7,13,0
Friday,8,13,0
Friday,9,13,0
Friday,10,13,3
Friday,11,13,0
Friday,12,13,0
Friday,13,13,1
Friday,14,13,1
Friday,15,13,0
Friday,16,13,2
Friday,17,13,2
Friday,18,13,4
Friday,19,13,0
Friday,20,13,4
Friday,21,13,0
Friday,22,13,2
Friday,23,13,2
Friday,0,14,4
Friday,1,14,0
