day,hours,store,value
Monday,0,1,0
Monday,1,1,0
Monday,2,1,0
Monday,3,1,0
Monday,4,1,0
Monday,5,1,0
Monday,6,1,0
Monday,7,1,0
Monday,8,1,0
Monday,9,1,3
Monday,10,1,4
Monday,11,1,0
Monday,12,1,3
Monday,13,1,4
Monday,14,1,0
Monday,15,1,1
Monday,16,1,4
Monday,17,1,1
Monday,18,1,2
Monday,19,1,4
Monday,20,1,0
Monday,21,1,1
Monday,22,1,1
Monday,23,1,3
Monday,0,2,0
Monday,1,2,0
Monday,2,2,0
Monday,3,2,0
Monday,4,2,0
Monday,5,2,0
Monday,6,2,0
Monday,7,2,0
Monday,8,2,1
Monday,9,2,0
Monday,10,2,3
Monday,11,2,0
Monday,12,2,2
Monday,13,2,4
Monday,14,2,0
Monday,15,2,0
Monday,16,2,2
Monday,17,2,1
Monday,18,2,0
Monday,19,2,0
Monday,20,2,0
Monday,21,2,1
Monday,22,2,3
Monday,23,2,1
Monday,0,3,0
Monday,1,3,0
Monday,2,3,0
Monday,3,3,0
Monday,4,3,0
Monday,5,3,0
Monday,6,3,0
Monday,7,3,0
Monday,8,3,3
Monday,9,3,1
Monday,10,3,3
Monday,11,3,4
Monday,12,3,4
Monday,13,3,4
Monday,14,3,2
Monday,15,3,1
Monday,16,3,4
Monday,17,3,1
Monday,18,3,0
Monday,19,3,1
Monday,20,3,3
Monday,21,3,0
Monday,22,3,4
Monday,23,3,3
Monday,0,4,0
Monday,1,4,0
Monday,2,4,0
Monday,3,4,0
Monday,4,4,0
Monday,5,4,0
Monday,6,4,0
Monday,7,4,0
Monday,8,4,1
Monday,9,4,4
Monday,10,4,0
Monday,11,4,0
Monday,12,4,4
Monday,13,4,1
Monday,14,4,3
Monday,15,4,4
Monday,16,4,3
Monday,17,4,4
Monday,18,4,0
Monday,19,4,2
Monday,20,4,1
Monday,21,4,1
Monday,22,4,0
Monday,23,4,1
Monday,0,5,0
Monday,1,5,0
Monday,2,5,0
Monday,3,5,0
Monday,4,5,0
Monday,5,5,0
Monday,6,5,0
Monday,7,5,0
Monday,8,5,4
Monday,9,5,4
Monday,10,5,0
Monday,11,5,3
Monday,12,5,0
Monday,13,5,4
Monday,14,5,3
Monday,15,5,4
Monday,16,5,1
Monday,17,5,1
Monday,18,5,1
Monday,19,5,2
Monday,20,5,3
Monday,21,5,1
Monday,22,5,2
Monday,23,5,1
Monday,0,6,0
Monday,1,6,0
Monday,2,6,0
Monday,3,6,0
Monday,4,6,0
Monday,5,6,0
Monday,6,6,0
Monday,7,6,0
Monday,8,6,1
Monday,9,6,4
Monday,10,6,1
Monday,11,6,1
Monday,12,6,1
Monday,13,6,0
Monday,14,6,3
Monday,15,6,2
Monday,16,6,3
Monday,17,6,1
Monday,18,6,3
Monday,19,6,3
Monday,20,6,3
Monday,21,6,3
Monday,22,6,1
Monday,23,6,1
Monday,0,7,0
Monday,1,7,0
Monday,2,7,0
Monday,3,7,0
Monday,4,7,0
Monday,5,7,0
Monday,6,7,0
Monday,7,7,0
Monday,8,7,2
Monday,9,7,2
Monday,10,7,0
Monday,11,7,0
Monday,12,7,0
Monday,13,7,2
Monday,14,7,0
Monday,15,7,1
Monday,16,7,0
Monday,17,7,0
Monday,18,7,2
Monday,19,7,2
Monday,20,7,0
Monday,21,7,1
Monday,22,7,0
Monday,23,7,2
Monday,0,8,0
Monday,1,8,0
Monday,2,8,0
Monday,3,8,0
Monday,4,8,0
Monday,5,8,0
Monday,6,8,0
Monday,7,8,0
Monday,8,8,2
Monday,9,8,1
Monday,10,8,2
Monday,11,8,3
Monday,12,8,1
Monday,13,8,0
Monday,14,8,3
Monday,15,8,1
Monday,16,8,4
Monday,17,8,3
Monday,18,8,4
Monday,19,8,0
Monday,20,8,4
Monday,21,8,4
Monday,22,8,1
Monday,23,8,2
Monday,0,9,0
Monday,1,9,0
Monday,2,9,0
Monday,3,9,0
Monday,4,9,0
Monday,5,9,0
Monday,6,9,0
Monday,7,9,0
Monday,8,9,3
Monday,9,9,4
Monday,10,9,4
Monday,11,9,1
Monday,12,9,1
Monday,13,9,3
Monday,14,9,1
Monday,15,9,2
Monday,16,9,3
Monday,17,9,3
Monday,18,9,2
Monday,19,9,4
Monday,20,9,3
Monday,21,9,3
Monday,22,9,3
Monday,23,9,1
Monday,0,10,0
Monday,1,10,0
Monday,2,10,0
Monday,3,10,0
Monday,4,10,0
Monday,5,10,0
Monday,6,10,0
Monday,7,10,0
Monday,8,10,4
Monday,9,10,3
Monday,10,10,4
Monday,11,10,1
Monday,12,10,1
Monday,13,10,1
Monday,14,10,3
Monday,15,10,2
Monday,16,10,4
Monday,17,10,0
Monday,18,10,4
Monday,19,10,2
Monday,20,10,4
Monday,21,10,0
Monday,22,10,3
Monday,23,10,2
Monday,0,11,0
Monday,1,11,0
Monday,2,11,0
Monday,3,11,0
Monday,4,11,0
Monday,5,11,0
Monday,6,11,0
Monday,7,11,0
Monday,8,11,4
Monday,9,11,1
Monday,10,11,2
Monday,11,11,4
Monday,12,11,1
Monday,13,11,3
Monday,14,11,1
Monday,15,11,1
Monday,16,11,3
Monday,17,11,2
Monday,18,11,2
Monday,19,11,0
Monday,20,11,2
Monday,21,11,3
Monday,22,11,3
Monday,23,11,1
Monday,0,12,0
Monday,1,12,0
Monday,2,12,0
Monday,3,12,0
Monday,4,12,0
Monday,5,12,0
Monday,6,12,0
Monday,7,12,0
Monday,8,12,2
Monday,9,12,0
Monday,10,12,2
Monday,11,12,4
Monday,12,12,3
Monday,13,12,3
Monday,14,12,1
Monday,15,12,3
Monday,16,12,4
Monday,17,12,1
Monday,18,12,1
Monday,19,12,1
Monday,20,12,4
Monday,21,12,4
Monday,22,12,0
Monday,23,12,2
Monday,0,13,0
Monday,1,13,0
Monday,2,13,0
Monday,3,13,0
Monday,4,13,0
Monday,5,13,0
Monday,6,13,0
Monday,7,13,0
Monday,8,13,3
Monday,9,13,3
Monday,10,13,1
Monday,11,13,4
Monday,12,13,2
Monday,13,13,2
Monday,14,13,4
Monday,15,13,4
Monday,16,13,1
Monday,17,13,2
Monday,18,13,1
Monday,19,13,2
Monday,20,13,3
Monday,21,13,1
Monday,22,13,2
Monday,23,13,4
Monday,0,14,0
Monday,1,14,0
Monday,2,14,0
Monday,3,14,0
Monday,4,14,0
Monday,5,14,0
Monday,6,14,0
Monday,7,14,0
Monday,8,14,0
Monday,9,14,0
Monday,10,14,0
Monday,11,14,1
Monday,12,14,2
Monday,13,14,0
Monday,14,14,4
Monday,15,14,2
Monday,16,14,2
Monday,17,14,4
Monday,18,14,2
Monday,19,14,0
Monday,20,14,0
Monday,21,14,4
Monday,22,14,2
Monday,23,14,1
Monday,0,15,0
Monday,1,15,0
Monday,2,15,0
Monday,3,15,0
Monday,4,15,0
Monday,5,15,0
Monday,6,15,0
Monday,7,15,0
Monday,8,15,0
Monday,9,15,4
Monday,10,15,1
Monday,11,15,3
Monday,12,15,3
Monday,13,15,2
Monday,14,15,0
Monday,15,15,2
Monday,16,15,0
Monday,17,15,3
Monday,18,15,1
Monday,19,15,0
Monday,20,15,3
Monday,21,15,1
Monday,22,15,0
Monday,23,15,4
Monday,0,16,0
Monday,1,16,0
Monday,2,16,0
Monday,3,16,0
Monday,4,16,0
Monday,5,16,0
Monday,6,16,0
Monday,7,16,2
Monday,8,16,0
Monday,9,16,0
Monday,10,16,3
Monday,11,16,0
Monday,12,16,1
Monday,13,16,1
Monday,14,16,4
Monday,15,16,3
Monday,16,16,0
Monday,17,16,3
Monday,18,16,4
Monday,19,16,1
Monday,20,16,4
Monday,21,16,4
Monday,22,16,1
