day,hours,store,value
Saturday,0,1,3
Saturday,1,1,4
Saturday,2,1,0
Saturday,3,1,0
Saturday,4,1,0
Saturday,5,1,0
Saturday,6,1,0
Saturday,7,1,0
Saturday,8,1,0
Saturday,9,1,0
Saturday,10,1,2
Saturday,11,1,2
Saturday,12,1,2
Saturday,13,1,4
Saturday,14,1,2
Saturday,15,1,0
Saturday,16,1,1
Saturday,17,1,3
Saturday,18,1,2
Saturday,19,1,0
Saturday,20,1,4
Saturday,21,1,3
Saturday,22,1,2
Saturday,23,1,2
Saturday,0,2,1
Saturday,1,2,3
Saturday,2,2,0
Saturday,3,2,0
Saturday,4,2,0
Saturday,5,2,0
Saturday,6,2,0
Saturday,7,2,0
Saturday,8,2,0
Saturday,9,2,0
Saturday,10,2,3
Saturday,11,2,0
Saturday,12,2,4
Saturday,13,2,2
Saturday,14,2,2
Saturday,15,2,4
Saturday,16,2,1
Saturday,17,2,2
Saturday,18,2,1
Saturday,19,2,1
Saturday,20,2,1
Saturday,21,2,2
Saturday,22,2,1
Saturday,23,2,4
Saturday,0,3,2
Saturday,1,3,1
Saturday,2,3,0
Saturday,3,3,0
Saturday,4,3,0
Saturday,5,3,0
Saturday,6,3,0
Saturday,7,3,0
Saturday,8,3,0
Saturday,9,3,0
Saturday,10,3,0
Saturday,11,3,4
Saturday,12,3,3
Saturday,13,3,4
Saturday,14,3,2
Saturday,15,3,1
Saturday,16,3,3
Saturday,17,3,2
Saturday,18,3,3
Saturday,19,3,4
Saturday,20,3,2
Saturday,21,3,4
Saturday,22,3,4
Saturday,23,3,4
Saturday,0,4,4
Saturday,1,4,4
Saturday,2,4,0
Saturday,3,4,0
Saturday,4,4,0
Saturday,5,4,0
Saturday,6,4,0
Saturday,7,4,0
Saturday,8,4,0
Saturday,9,4,0
Saturday,10,4,4
Saturday,11,4,0
Saturday,12,4,4
Saturday,13,4,4
Saturday,14,4,2
Saturday,15,4,2
Saturday,16,4,2
Saturday,17,4,0
Saturday,18,4,0
Saturday,19,4,2
Saturday,20,4,0
Saturday,21,4,1
Saturday,22,4,3
Saturday,23,4,1
