day,hours,store,value
Sunday,0,1,0
Sunday,1,1,0
Sunday,2,1,0
Sunday,3,1,0
Sunday,4,1,0
Sunday,5,1,0
Sunday,6,1,0
Sunday,7,1,0
Sunday,8,1,0
Sunday,9,1,0
Sunday,10,1,4
Sunday,11,1,2
Sunday,12,1,2
Sunday,13,1,3
Sunday,14,1,2
Sunday,15,1,2
Sunday,16,1,2
Sunday,17,1,2
Sunday,18,1,2
Sunday,19,1,1
Sunday,20,1,0
Sunday,21,1,1
Sunday,22,1,3
Sunday,23,1,4
Sunday,0,2,0
Sunday,1,2,0
Sunday,2,2,0
Sunday,3,2,0
Sunday,4,2,0
Sunday,5,2,0
Sunday,6,2,0
Sunday,7,2,0
Sunday,8,2,0
Sunday,9,2,0
Sunday,10,2,4
Sunday,11,2,0
Sunday,12,2,0
Sunday,13,2,3
Sunday,14,2,4
Sunday,15,2,2
Sunday,16,2,3
Sunday,17,2,3
Sunday,18,2,0
Sunday,19,2,1
Sunday,20,2,4
Sunday,21,2,1
Sunday,22,2,3
Sunday,23,2,1
Sunday,0,3,0
Sunday,1,3,0
Sunday,2,3,0
Sunday,3,3,0
Sunday,4,3,0
Sunday,5,3,0
Sunday,6,3,0
Sunday,7,3,0
Sunday,8,3,0
Sunday,9,3,0
Sunday,10,3,4
Sunday,11,3,0
Sunday,12,3,2
Sunday,13,3,0
Sunday,14,3,4
Sunday,15,3,2
Sunday,16,3,0
Sunday,17,3,4
Sunday,18,3,3
Sunday,19,3,2
Sunday,20,3,3
Sunday,21,3,2
Sunday,22,3,4
Sunday,23,3,3
Sunday,0,4,0
Sunday,1,4,0
Sunday,2,4,0
Sunday,3,4,0
Sunday,4,4,0
Sunday,5,4,0
Sunday,6,4,0
Sunday,7,4,0
Sunday,8,4,0
Sunday,9,4,0
Sunday,10,4,2
Sunday,11,4,0
Sunday,12,4,1
Sunday,13,4,1
Sunday,14,4,0
Sunday,15,4,4
Sunday,16,4,2
Sunday,17,4,3
Sunday,18,4,3
Sunday,19,4,0
Sunday,20,4,2
Sunday,21,4,1
Sunday,22,4,4
Sunday,23,4,0
Sunday,0,5,0
Sunday,1,5,0
Sunday,2,5,0
Sunday,3,5,0
Sunday,4,5,0
Sunday,5,5,0
Sunday,6,5,0
Sunday,7,5,0
Sunday,8,5,0
Sunday,9,5,0
Sunday,10,5,4
Sunday,11,5,3
Sunday,12,5,3
Sunday,13,5,2
Sunday,14,5,2
Sunday,15,5,3
Sunday,16,5,0
Sunday,17,5,0
Sunday,18,5,2
Sunday,19,5,2
Sunday,20,5,3
Sunday,21,5,4
Sunday,22,5,3
Sunday,23,5,4
Sunday,0,6,0
Sunday,1,6,0
Sunday,2,6,0
Sunday,3,6,0
Sunday,4,6,0
Sunday,5,6,0
Sunday,6,6,0
Sunday,7,6,0
Sunday,8,6,0
Sunday,9,6,0
Sunday,10,6,3
Sunday,11,6,1
Sunday,12,6,3
Sunday,13,6,0
Sunday,14,6,4
Sunday,15,6,0
Sunday,16,6,0
Sunday,17,6,0
Sunday,18,6,1
Sunday,19,6,3
Sunday,20,6,4
Sunday,21,6,0
Sunday,22,6,4
Sunday,23,6,4
Sunday,0,7,0
Sunday,1,7,0
Sunday,2,7,0
Sunday,3,7,0
Sunday,4,7,0
Sunday,5,7,0
Sunday,6,7,0
Sunday,7,7,0
Sunday,8,7,0
Sunday,9,7,0
Sunday,10,7,2
Sunday,11,7,1
Sunday,12,7,2
Sunday,13,7,3
Sunday,14,7,0
Sunday,15,7,3
Sunday,16,7,1
Sunday,17,7,1
Sunday,18,7,3
Sunday,19,7,4
Sunday,20,7,4
Sunday,21,7,2
Sunday,22,7,1
Sunday,23,7,3
Sunday,0,8,0
Sunday,1,8,0
Sunday,2,8,0
Sunday,3,8,0
Sunday,4,8,0
Sunday,5,8,0
Sunday,6,8,0
Sunday,7,8,0
Sunday,8,8,0
Sunday,9,8,0
Sunday,10,8,0
Sunday,11,8,3
Sunday,12,8,1
Sunday,13,8,1
Sunday,14,8,1
Sunday,15,8,4
Sunday,16,8,0
Sunday,17,8,0
Sunday,18,8,0
Sunday,19,8,2
Sunday,20,8,2
Sunday,21,8,4
Sunday,22,8,1
Sunday,23,8,1
Sunday,0,9,0
Sunday,1,9,0
Sunday,2,9,0
Sunday,3,9,0
Sunday,4,9,0
Sunday,5,9,0
Sunday,6,9,0
Sunday,7,9,0
Sunday,8,9,0
Sunday,9,9,0
Sunday,10,9,3
Sunday,11,9,3
Sunday,12,9,1
Sunday,13,9,1
Sunday,14,9,2
Sunday,15,9,2
Sunday,16,9,1
Sunday,17,9,2
Sunday,18,9,1
Sunday,19,9,1
Sunday,20,9,3
Sunday,21,9,0
Sunday,22,9,3
Sunday,23,9,4
Sunday,0,10,0
Sunday,1,10,0
