day,hours,store,value
Thursday,0,1,3
Thursday,1,1,0
Thursday,2,1,0
Thursday,3,1,0
Thursday,4,1,0
Thursday,5,1,0
Thursday,6,1,0
Thursday,7,1,0
Thursday,8,1,0
Thursday,9,1,0
Thursday,10,1,4
Thursday,11,1,2
Thursday,12,1,2
Thursday,13,1,1
Thursday,14,1,2
Thursday,15,1,3
Thursday,16,1,3
Thursday,17,1,1
Thursday,18,1,3
Thursday,19,1,2
Thursday,20,1,4
Thursday,21,1,1
Thursday,22,1,2
Thursday,23,1,4
Thursday,0,2,0
Thursday,1,2,3
Thursday,2,2,0
Thursday,3,2,0
Thursday,4,2,0
Thursday,5,2,0
Thursday,6,2,0
Thursday,7,2,0
Thursday,8,2,0
Thursday,9,2,0
Thursday,10,2,0
Thursday,11,2,4
Thursday,12,2,2
Thursday,13,2,1
Thursday,14,2,1
Thursday,15,2,4
Thursday,16,2,3
Thursday,17,2,4
Thursday,18,2,0
Thursday,19,2,0
Thursday,20,2,1
Thursday,21,2,4
Thursday,22,2,0
Thursday,23,2,3
Thursday,0,3,3
Thursday,1,3,2
Thursday,2,3,0
Thursday,3,3,0
Thursday,4,3,0
Thursday,5,3,0
Thursday,6,3,0
Thursday,7,3,0
Thursday,8,3,0
Thursday,9,3,0
Thursday,10,3,3
Thursday,11,3,1
Thursday,12,3,3
Thursday,13,3,3
Thursday,14,3,1
Thursday,15,3,3
Thursday,16,3,1
Thursday,17,3,1
Thursday,18,3,3
Thursday,19,3,2
Thursday,20,3,1
Thursday,21,3,2
Thursday,22,3,1
Thursday,23,3,2
Thursday,0,4,4
Thursday,1,4,1
Thursday,2,4,0
Thursday,3,4,0
Thursday,4,4,0
Thursday,5,4,0
Thursday,6,4,0
Thursday,7,4,0
Thursday,8,4,0
Thursday,9,4,0
Thursday,10,4,4
Thursday,11,4,0
Thursday,12,4,1
Thursday,13,4,0
Thursday,14,4,4
Thursday,15,4,1
Thursday,16,4,3
Thursday,17,4,1
Thursday,18,4,4
Thursday,19,4,0
Thursday,20,4,3
Thursday,21,4,4
Thursday,22,4,2
Thursday,23,4,1
Thursday,0,5,2
Thursday,1,5,3
Thursday,2,5,0
Thursday,3,5,0
Thursday,4,5,0
Thursday,5,5,0
Thursday,6,5,0
Thursday,7,5,0
Thursday,8,5,0
Thursday,9,5,0
Thursday,10,5,2
Thursday,11,5,2
Thursday,12,5,2
Thursday,13,5,4
Thursday,14,5,4
Thursday,15,5,4
Thursday,16,5,1
Thursday,17,5,0
Thursday,18,5,3
Thursday,19,5,4
Thursday,20,5,2
Thursday,21,5,2
Thursday,22,5,2
Thursday,23,5,1
Thursday,0,6,4
