day,hours,store,value
Wednesday,0,1,0
Wednesday,1,1,0
Wednesday,2,1,0
Wednesday,3,1,0
Wednesday,4,1,0
Wednesday,5,1,0
Wednesday,6,1,0
Wednesday,7,1,0
Wednesday,8,1,0
Wednesday,9,1,0
Wednesday,10,1,3
Wednesday,11,1,3
Wednesday,12,1,0
Wednesday,13,1,1
Wednesday,14,1,1
Wednesday,15,1,2
Wednesday,16,1,1
Wednesday,17,1,1
Wednesday,18,1,2
Wednesday,19,1,3
Wednesday,20,1,2
Wednesday,21,1,0
Wednesday,22,1,4
Wednesday,23,1,3
Wednesday,0,2,0
Wednesday,1,2,0
Wednesday,2,2,0
Wednesday,3,2,0
Wednesday,4,2,0
Wednesday,5,2,0
Wednesday,6,2,0
Wednesday,7,2,0
Wednesday,8,2,0
Wednesday,9,2,0
Wednesday,10,2,2
Wednesday,11,2,4
Wednesday,12,2,4
Wednesday,13,2,4
Wednesday,14,2,0
Wednesday,15,2,0
Wednesday,16,2,4
Wednesday,17,2,2
Wednesday,18,2,3
Wednesday,19,2,1
Wednesday,20,2,4
Wednesday,21,2,2
Wednesday,22,2,1
Wednesday,23,2,2
Wednesday,0,3,0
Wednesday,1,3,0
Wednesday,2,3,0
Wednesday,3,3,0
Wednesday,4,3,0
Wednesday,5,3,0
Wednesday,6,3,0
Wednesday,7,3,0
Wednesday,8,3,0
Wednesday,9,3,0
Wednesday,10,3,4
Wednesday,11,3,3
Wednesday,12,3,4
Wednesday,13,3,2
Wednesday,14,3,2
Wednesday,15,3,3
Wednesday,16,3,0
Wednesday,17,3,1
Wednesday,18,3,2
Wednesday,19,3,4
Wednesday,20,3,2
Wednesday,21,3,1
Wednesday,22,3,1
Wednesday,23,3,1
Wednesday,0,4,0
Wednesday,1,4,0
Wednesday,2,4,0
Wednesday,3,4,0
Wednesday,4,4,0
Wednesday,5,4,0
Wednesday,6,4,0
Wednesday,7,4,0
Wednesday,8,4,0
Wednesday,9,4,0
Wednesday,10,4,2
Wednesday,11,4,0
Wednesday,12,4,4
Wednesday,13,4,4
Wednesday,14,4,2
Wednesday,15,4,3
Wednesday,16,4,1
Wednesday,17,4,0
Wednesday,18,4,0
Wednesday,19,4,3
Wednesday,20,4,1
Wednesday,21,4,2
Wednesday,22,4,3
Wednesday,23,4,4
Wednesday,0,5,0
Wednesday,1,5,0
Wednesday,2,5,0
Wednesday,3,5,0
Wednesday,4,5,0
Wednesday,5,5,0
Wednesday,6,5,0
Wednesday,7,5,0
Wednesday,8,5,0
Wednesday,9,5,0
Wednesday,10,5,1
Wednesday,11,5,2
Wednesday,12,5,4
Wednesday,13,5,0
Wednesday,14,5,1
Wednesday,15,5,2
Wednesday,16,5,2
Wednesday,17,5,1
Wednesday,18,5,2
Wednesday,19,5,4
Wednesday,20,5,3
Wednesday,21,5,0
Wednesday,22,5,3
Wednesday,23,5,0
Wednesday,0,6,0
Wednesday,1,6,0
Wednesday,2,6,0
Wednesday,3,6,0
Wednesday,4,6,0
Wednesday,5,6,0
Wednesday,6,6,0
Wednesday,7,6,0
Wednesday,8,6,0
Wednesday,9,6,0
Wednesday,10,6,1
Wednesday,11,6,4
Wednesday,12,6,4
Wednesday,13,6,2
Wednesday,14,6,0
Wednesday,15,6,3
Wednesday,16,6,1
Wednesday,17,6,3
Wednesday,18,6,2
Wednesday,19,6,4
Wednesday,20,6,2
Wednesday,21,6,1
Wednesday,22,6,0
Wednesday,23,6,3
Wednesday,0,7,0
Wednesday,1,7,0
Wednesday,2,7,0
Wednesday,3,7,0
Wednesday,4,7,0
Wednesday,5,7,0
Wednesday,6,7,0
Wednesday,7,7,0
Wednesday,8,7,0
Wednesday,9,7,0
Wednesday,10,7,3
Wednesday,11,7,1
Wednesday,12,7,0
Wednesday,13,7,4
Wednesday,14,7,1
Wednesday,15,7,3
Wednesday,16,7,1
Wednesday,17,7,0
Wednesday,18,7,2
Wednesday,19,7,2
Wednesday,20,7,3
Wednesday,21,7,4
Wednesday,22,7,4
Wednesday,23,7,0
Wednesday,0,8,0
Wednesday,1,8,0
Wednesday,2,8,0
Wednesday,3,8,0
Wednesday,4,8,0
Wednesday,5,8,0
Wednesday,6,8,0
Wednesday,7,8,0
Wednesday,8,8,0
Wednesday,9,8,0
Wednesday,10,8,0
Wednesday,11,8,0
Wednesday,12,8,2
Wednesday,13,8,4
Wednesday,14,8,2
Wednesday,15,8,3
Wednesday,16,8,0
Wednesday,17,8,1
Wednesday,18,8,3
Wednesday,19,8,1
Wednesday,20,8,2
Wednesday,21,8,4
Wednesday,22,8,4
Wednesday,23,8,0
Wednesday,0,9,0
Wednesday,1,9,0
Wednesday,2,9,0
Wednesday,3,9,0
Wednesday,4,9,0
Wednesday,5,9,0
Wednesday,6,9,0
Wednesday,7,9,0
Wednesday,8,9,0
Wednesday,9,9,0
Wednesday,10,9,2
Wednesday,11,9,2
Wednesday,12,9,4
Wednesday,13,9,4
Wednesday,14,9,0
Wednesday,15,9,1
Wednesday,16,9,0
Wednesday,17,9,1
Wednesday,18,9,0
Wednesday,19,9,1
Wednesday,20,9,3
Wednesday,21,9,0
Wednesday,22,9,2
Wednesday,23,9,1
Wednesday,0,10,0
Wednesday,1,10,0
Wednesday,2,10,0
Wednesday,3,10,0
Wednesday,4,10,0
Wednesday,5,10,0
Wednesday,6,10,0
